                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.24903,                0.18417,                0.77996,                0.99996,                0.09108,                0.42616,                0.41355,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     40,                0.24778,                 0.1823,                 0.7805,                0.99996,                0.09108,                0.42298,                0.41125,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     41,                0.24301,                0.17997,                 0.7797,                0.99996,                0.09108,                0.41062,                 0.4001,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     42,                0.24184,                0.17869,                0.77942,                0.99996,                0.09108,                0.43647,                0.42434,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     43,                 0.2389,                 0.1773,                0.77875,                0.99996,                0.09108,                0.44285,                0.43041,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     44,                0.23538,                0.17607,                0.77864,                0.99995,                0.09108,                0.44576,                0.43319,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     45,                0.23308,                 0.1737,                0.77939,                0.99995,                0.09108,                0.45453,                0.44264,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     46,                0.23022,                 0.1722,                 0.7775,                0.99995,                0.09108,                 0.4435,                0.43198,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     47,                0.22788,                0.17072,                0.77813,                0.99995,                0.09108,                0.45281,                0.44125,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     48,                0.22723,                0.17054,                0.77726,                0.99996,                0.09108,                0.45502,                0.44227,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     49,                  0.224,                0.16829,                0.77712,                0.99995,                0.09108,                0.45669,                0.44609,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     50,                0.22069,                0.16607,                0.77726,                0.99995,                0.09108,                0.45463,                 0.4425,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                     51,                0.21816,                0.16449,                0.77672,                0.99995,                0.09108,                0.46259,                 0.4519,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     52,                0.21597,                0.16379,                0.77653,                0.99996,                0.09108,                0.45323,                 0.4428,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                     53,                 0.2138,                0.16212,                0.77612,                0.99995,                0.09108,                0.45535,                0.44405,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     54,                0.21055,                0.16032,                0.77559,                0.99995,                0.09108,                0.46108,                0.44934,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                     55,                0.21016,                0.15968,                0.77533,                0.99995,                0.09108,                0.46492,                0.45324,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                     56,                0.20629,                0.15771,                0.77564,                0.99996,                0.09108,                0.46163,                0.45076,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     57,                0.20481,                0.15689,                0.77518,                0.99996,                0.09108,                0.47348,                0.46179,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     58,                0.20248,                0.15521,                0.77536,                0.99995,                0.09108,                0.47682,                0.46508,                    nan,                    nan,                    nan,               0.004357,               0.004357,               0.004357
                     59,                0.19967,                0.15358,                 0.7749,                0.99996,                0.09108,                0.46887,                0.45745,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                     60,                0.19744,                0.15257,                0.77464,                0.99995,                0.09108,                0.47142,                0.46006,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                     61,                0.19649,                0.15193,                0.77473,                0.99996,                0.09108,                0.47482,                0.46393,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     62,                0.19313,                0.15055,                0.77433,                0.99996,                0.09108,                0.47314,                0.46229,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                     63,                0.19109,                0.14857,                 0.7744,                0.99996,                0.09108,                0.47436,                0.46397,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                     64,                0.18934,                 0.1473,                 0.7744,                0.99996,                0.09108,                0.47694,                0.46639,                    nan,                    nan,                    nan,               0.003763,               0.003763,               0.003763
                     65,                0.18818,                 0.1466,                0.77403,                0.99996,                0.09108,                0.47887,                0.46877,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                     66,                0.18634,                0.14532,                0.77403,                0.99996,                0.09108,                0.47924,                  0.469,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     67,                 0.1833,                0.14359,                0.77386,                0.99995,                0.09108,                0.47891,                0.46856,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                     68,                0.18185,                0.14272,                0.77402,                0.99996,                0.09108,                0.47958,                0.46906,                    nan,                    nan,                    nan,               0.003367,               0.003367,               0.003367
                     69,                0.17913,                0.14145,                0.77391,                0.99996,                0.09108,                0.47807,                0.46769,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                     70,                0.17831,                 0.1404,                0.77356,                0.99996,                0.09108,                0.47853,                0.46841,                    nan,                    nan,                    nan,               0.003169,               0.003169,               0.003169
                     71,                0.17541,                0.13875,                0.77381,                0.99996,                0.09108,                0.48284,                0.47249,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     72,                0.17365,                0.13816,                0.77306,                0.99996,                0.09108,                0.48414,                 0.4738,                    nan,                    nan,                    nan,               0.002971,               0.002971,               0.002971
                     73,                0.17047,                 0.1365,                0.77205,                0.99995,                0.09108,                0.47763,                0.46767,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     74,                0.16981,                0.13611,                0.77246,                0.99995,                0.09108,                0.47226,                0.46233,                    nan,                    nan,                    nan,               0.002773,               0.002773,               0.002773
                     75,                0.16727,                 0.1347,                0.77194,                0.99996,                0.09108,                0.47015,                0.46034,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                     76,                0.16555,                 0.1337,                0.77229,                0.99995,                0.09108,                0.46896,                0.45939,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                     77,                0.16341,                0.13233,                0.77144,                0.99995,                0.09108,                0.46919,                0.45952,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     78,                0.16175,                0.13152,                0.77135,                0.99995,                0.09108,                0.46683,                0.45712,                    nan,                    nan,                    nan,               0.002377,               0.002377,               0.002377
                     79,                0.16057,                0.13009,                 0.7721,                0.99995,                0.09108,                0.46692,                0.45721,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                     80,                0.15832,                  0.129,                0.77121,                0.99995,                0.09108,                0.46628,                0.45681,                    nan,                    nan,                    nan,               0.002179,               0.002179,               0.002179
                     81,                0.15669,                0.12801,                0.77069,                0.99995,                0.09108,                 0.4713,                0.46171,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     82,                0.15391,                0.12671,                0.77082,                0.99995,                0.09108,                0.47349,                0.46382,                    nan,                    nan,                    nan,               0.001981,               0.001981,               0.001981
                     83,                0.15325,                0.12569,                0.77065,                0.99995,                0.09108,                0.47305,                0.46344,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                     84,                0.15093,                0.12478,                0.76968,                0.99995,                0.09108,                0.47549,                0.46575,                    nan,                    nan,                    nan,               0.001783,               0.001783,               0.001783
                     85,                0.14974,                0.12352,                 0.7704,                0.99996,                0.09108,                0.47579,                0.46624,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                     86,                0.14802,                0.12274,                0.77098,                0.99996,                0.09108,                0.47532,                0.46584,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                     87,                0.14515,                0.12114,                0.77008,                0.99996,                0.09108,                0.47407,                0.46459,                    nan,                    nan,                    nan,               0.001486,               0.001486,               0.001486
                     88,                0.14365,                0.11987,                0.76983,                0.99996,                0.09108,                0.47426,                0.46482,                    nan,                    nan,                    nan,               0.001387,               0.001387,               0.001387
                     89,                0.14219,                0.11896,                0.77018,                0.99996,                0.09108,                 0.4745,                0.46507,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                     90,                 0.1407,                0.11782,                0.76947,                0.99996,                0.09108,                0.47579,                0.46627,                    nan,                    nan,                    nan,               0.001189,               0.001189,               0.001189
                     91,                  0.171,                 0.1235,                0.76674,                0.99996,                0.09108,                0.47587,                0.46763,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
                     92,                0.16456,                0.11878,                0.76553,                0.99996,                0.09108,                 0.4776,                0.47035,                    nan,                    nan,                    nan,               0.000991,               0.000991,               0.000991
                     93,                0.16217,                0.11769,                0.76494,                0.99996,                0.09108,                0.47943,                0.47292,                    nan,                    nan,                    nan,               0.000892,               0.000892,               0.000892
                     94,                0.15952,                0.11619,                0.76429,                0.99996,                0.09108,                0.48052,                0.47459,                    nan,                    nan,                    nan,               0.000793,               0.000793,               0.000793
                     95,                0.15666,                0.11432,                0.76459,                0.99996,                0.09108,                0.48047,                0.47491,                    nan,                    nan,                    nan,               0.000694,               0.000694,               0.000694
                     96,                0.15392,                0.11249,                0.76431,                0.99996,                0.09108,                0.47892,                0.47363,                    nan,                    nan,                    nan,               0.000595,               0.000595,               0.000595
                     97,                0.15245,                0.11139,                0.76451,                0.99996,                0.09108,                0.47788,                0.47285,                    nan,                    nan,                    nan,               0.000496,               0.000496,               0.000496
                     98,                0.14961,                0.10976,                 0.7632,                0.99996,                0.09108,                0.47737,                0.47244,                    nan,                    nan,                    nan,               0.000397,               0.000397,               0.000397
                     99,                0.14832,                0.10887,                0.76181,                0.99996,                0.09108,                0.47749,                0.47263,                    nan,                    nan,                    nan,               0.000298,               0.000298,               0.000298
                    100,                0.14765,                0.10816,                 0.7634,                0.99996,                0.09108,                0.47835,                0.47355,                    nan,                    nan,                    nan,               0.000199,               0.000199,               0.000199
